Revise from: 1 A7741   Ehrlichiosis chafeensis [E. chafeensis]                      Ehrlichiosis chafeensis [E. chafeensis]
Add:         0 M6596   Unspecified synovitis and tenosynovitis, lower leg           Unspecified synovitis and tenosynovitis, lower leg
Add:         1 M65961  Unspecified synovitis and tenosynovitis, right lower leg     Unspecified synovitis and tenosynovitis, right lower leg
Add:         1 M65962  Unspecified synovitis and tenosynovitis, left lower leg      Unspecified synovitis and tenosynovitis, left lower leg
Add:         1 M65969  Unsp synovitis and tenosynovitis, unspecified lower leg      Unspecified synovitis and tenosynovitis, unspecified lower leg
Add:         0 M6597   Unspecified synovitis and tenosynovitis, ankle and foot      Unspecified synovitis and tenosynovitis, ankle and foot
Add:         1 M65971  Unspecified synovitis and tenosynovitis, right ank/ft        Unspecified synovitis and tenosynovitis, right ankle and foot
Add:         1 M65972  Unspecified synovitis and tenosynovitis, left ankle and foot Unspecified synovitis and tenosynovitis, left ankle and foot
Add:         1 M65979  Unspecified synovitis and tenosynovitis, unspecified ank/ft  Unspecified synovitis and tenosynovitis, unspecified ankle and foot
Add:         1 M6598   Unspecified synovitis and tenosynovitis, other site          Unspecified synovitis and tenosynovitis, other site
Add:         1 M6599   Unspecified synovitis and tenosynovitis, multiple sites      Unspecified synovitis and tenosynovitis, multiple sites
Revise from: 1 Q1381   Rieger's anomaly                                             Rieger's anomaly
Revise to:   1 Q1381   Rieger anomaly                                               Rieger anomaly
Delete:      1 Q238    Other congenital malformations of aortic and mitral valves   Other congenital malformations of aortic and mitral valves
Add:         0 Q238    Other congenital malformations of aortic and mitral valves   Other congenital malformations of aortic and mitral valves
Add:         1 Q2381   Bicuspid aortic valve                                        Bicuspid aortic valve
Add:         1 Q2382   Congenital mitral valve cleft leaflet                        Congenital mitral valve cleft leaflet
Add:         1 Q2388   Other congenital malformations of aortic and mitral valves   Other congenital malformations of aortic and mitral valves
Add:         1 Q8786   Kleefstra syndrome                                           Kleefstra syndrome
Add:         1 R4185   Anosognosia                                                  Anosognosia
Add:         0 T45A    Immune checkpoint inhibitors and immunostimulant drugs       Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs
Add:         0 T45AX   Immune checkpoint inhibitors and immunostimulant drugs       Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs
Add:         0 T45AX1  Poisoning by immune chkpt inhibtr/immunostim drugs, acc      Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional)
Add:         1 T45AX1A Poisn by immune chkpt inhibtr/immunostim drugs, acc, init    Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional), initial encounter
Add:         1 T45AX1D Poisn by immune chkpt inhibtr/immunostim drugs, acc, subs    Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional), subsequent encounter
Add:         1 T45AX1S Poisn by immune chkpt inhibtr/immunostim drugs, acc, sqla    Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional), sequela
Add:         0 T45AX2  Poisn by immune chkpt inhibtr/immunostim drugs, self-harm    Poisoning by immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm
Add:         1 T45AX2A Poisn by immune chkpt inhibtr/immunostim drugs,slf-hrm,init  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm, initial encounter
Add:         1 T45AX2D Poisn by immune chkpt inhibtr/immunostim drugs,slf-hrm,subs  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm, subsequent encounter
Add:         1 T45AX2S Poisn by immune chkpt inhibtr/immunostim drugs,slf-hrm,sqla  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm, sequela
Add:         0 T45AX3  Poisoning by immune chkpt inhibtr/immunostim drugs, assault  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, assault
Add:         1 T45AX3A Poisn by immune chkpt inhibtr/immunostim drugs, asslt, init  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, assault, initial encounter
Add:         1 T45AX3D Poisn by immune chkpt inhibtr/immunostim drugs, asslt, subs  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, assault, subsequent encounter
Add:         1 T45AX3S Poisn by immune chkpt inhibtr/immunostim drugs, asslt, sqla  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, assault, sequela
Add:         0 T45AX4  Poisoning by immune chkpt inhibtr/immunostim drugs, undet    Poisoning by immune checkpoint inhibitors and immunostimulant drugs, undetermined
Add:         1 T45AX4A Poisn by immune chkpt inhibtr/immunostim drugs, undet, init  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, undetermined, initial encounter
Add:         1 T45AX4D Poisn by immune chkpt inhibtr/immunostim drugs, undet, subs  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, undetermined, subsequent encounter
Add:         1 T45AX4S Poisn by immune chkpt inhibtr/immunostim drugs, undet, sqla  Poisoning by immune checkpoint inhibitors and immunostimulant drugs, undetermined, sequela
Add:         0 T45AX5  Adverse effect of immune checkpoint inhibtr/immunostim drugs Adverse effect of immune checkpoint inhibitors and immunostimulant drugs
Add:         1 T45AX5A Advrs effect of immune chkpt inhibtr/immunostim drugs, init  Adverse effect of immune checkpoint inhibitors and immunostimulant drugs, initial encounter
Add:         1 T45AX5D Advrs effect of immune chkpt inhibtr/immunostim drugs, subs  Adverse effect of immune checkpoint inhibitors and immunostimulant drugs, subsequent encounter
Add:         1 T45AX5S Advrs effect of immune chkpt inhibtr/immunostim drugs, sqla  Adverse effect of immune checkpoint inhibitors and immunostimulant drugs, sequela
Add:         0 T45AX6  Underdosing of immune checkpoint inhibtr/immunostim drugs    Underdosing of immune checkpoint inhibitors and immunostimulant drugs
Add:         1 T45AX6A Undrdose of immune checkpoint inhibtr/immunostim drugs, init Underdosing of immune checkpoint inhibitors and immunostimulant drugs, initial encounter
Add:         1 T45AX6D Undrdose of immune checkpoint inhibtr/immunostim drugs, subs Underdosing of immune checkpoint inhibitors and immunostimulant drugs, subsequent encounter
Add:         1 T45AX6S Undrdose of immune chkpt inhibtr/immunostim drugs, sequela   Underdosing of immune checkpoint inhibitors and immunostimulant drugs, sequela
Add:         0 T81320  Disrupt/dehisc of GI tract anastomosis, repair, or closure   Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure
Add:         1 T81320A Disrupt/dehisc of GI tract anastomos, repair, or closr, init Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, initial encounter
Add:         1 T81320D Disrupt/dehisc of GI tract anastomos, repair, or closr, subs Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, subsequent encounter
Add:         1 T81320S Disrupt/dehisc of GI tract anastomos, repair, or closr, sqla Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, sequela
Add:         0 T81321  Disrupt/dehisc of closr of int op (surg) wnd abd wl msl/fasc Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia
Add:         1 T81321A Disrupt/dehisc closr int op (surg) wnd abd wl msl/fasc, init Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, initial encounter
Add:         1 T81321D Disrupt/dehisc closr int op (surg) wnd abd wl msl/fasc, subs Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, subsequent encounter
Add:         1 T81321S Disrupt/dehisc closr int op (surg) wnd abd wl msl/fasc, sqla Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, sequela
Add:         0 T81328  Disrupt/dehisc of closure of oth internal op (surg) wound    Disruption or dehiscence of closure of other specified internal operation (surgical) wound
Add:         1 T81328A Disrupt/dehisc of closure of oth int op (surg) wound, init   Disruption or dehiscence of closure of other specified internal operation (surgical) wound, initial encounter
Add:         1 T81328D Disrupt/dehisc of closure of oth int op (surg) wound, subs   Disruption or dehiscence of closure of other specified internal operation (surgical) wound, subsequent encounter
Add:         1 T81328S Disrupt/dehisc of closr of oth int op (surg) wound, sequela  Disruption or dehiscence of closure of other specified internal operation (surgical) wound, sequela
Add:         0 T81329  Deep Disrupt/dehisc of operation wound, unspecified          Deep disruption or dehiscence of operation wound, unspecified
Add:         1 T81329A Deep Disrupt/dehisc of operation wound, unspecified, init    Deep disruption or dehiscence of operation wound, unspecified, initial encounter
Add:         1 T81329D Deep Disrupt/dehisc of operation wound, unspecified, subs    Deep disruption or dehiscence of operation wound, unspecified, subsequent encounter
Add:         1 T81329S Deep Disrupt/dehisc of operation wound, unspecified, sequela Deep disruption or dehiscence of operation wound, unspecified, sequela
Delete:      1 T8132XA Disruption of internal operation (surgical) wound, NEC, init Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter
Delete:      1 T8132XD Disruption of internal operation (surgical) wound, NEC, subs Disruption of internal operation (surgical) wound, not elsewhere classified, subsequent encounter
Delete:      1 T8132XS Disrupt of internal operation (surgical) wound, NEC, sequela Disruption of internal operation (surgical) wound, not elsewhere classified, sequela
Add:         1 Z151    Genetic susceptibility to epi and neurodevelopmental disord  Genetic susceptibility to epilepsy and neurodevelopmental disorders
Add:         1 Z152    Genetic susceptibility to obesity                            Genetic susceptibility to obesity
Revise from: 0 Z17     Estrogen receptor status                                     Estrogen receptor status
Revise to:   0 Z17     Estrogen, and other hormones and factors receptor status     Estrogen, and other hormones and factors receptor status
Add:         0 Z172    Progesterone receptor status                                 Progesterone receptor status
Add:         1 Z1721   Progesterone receptor positive status                        Progesterone receptor positive status
Add:         1 Z1722   Progesterone receptor negative status                        Progesterone receptor negative status
Add:         0 Z173    Human epidermal growth factor 2 receptor                     Human epidermal growth factor 2 receptor
Add:         1 Z1731   Human epidermal growth factor receptor 2 positive status     Human epidermal growth factor receptor 2 positive status
Add:         1 Z1732   Human epidermal growth factor receptor 2 negative status     Human epidermal growth factor receptor 2 negative status
Add:         0 Z174    Combined receptor status                                     Combined receptor status
Add:         0 Z1741   Hormone receptor positive                                    Hormone receptor positive
Add:         1 Z17410  Hormone recept pos w hmn epdrml grth fctr recept 2 pos stat  Hormone receptor positive with human epidermal growth factor receptor 2 positive status
Add:         1 Z17411  Hormone recept pos w hmn epdrml grth fctr recept 2 neg stat  Hormone receptor positive with human epidermal growth factor receptor 2 negative status
Add:         0 Z1742   Hormone receptor negative                                    Hormone receptor negative
Add:         1 Z17420  Hormone recept neg w hmn epdrml grth fctr recept 2 pos stat  Hormone receptor negative with human epidermal growth factor receptor 2 positive status
Add:         1 Z17421  Hormone recept neg w hmn epdrml grth fctr recept 2 neg stat  Hormone receptor negative with human epidermal growth factor receptor 2 negative status
Add:         1 Z51A    Encounter for sepsis aftercare                               Encounter for sepsis aftercare
Delete:      1 Z597    Insufficient social insurance and welfare support            Insufficient social insurance and welfare support
Add:         0 Z597    Insufficient social insurance and welfare support            Insufficient social insurance and welfare support
Add:         1 Z5971   Insufficient health insurance coverage                       Insufficient health insurance coverage
Add:         1 Z5972   Insufficient welfare support                                 Insufficient welfare support
Add:         0 Z67A    Duffy phenotype                                              Duffy phenotype
Add:         1 Z67A1   Duffy null                                                   Duffy null
Add:         1 Z67A2   Duffy a positive                                             Duffy a positive
Add:         1 Z67A3   Duffy b positive                                             Duffy b positive
Add:         1 Z67A4   Duffy a and b positive                                       Duffy a and b positive
Revise from: 1 Z6854   Body mass index pediatric, > or equal to 95% for age         Body mass index [BMI] pediatric, greater than or equal to 95th percentile for age
Revise to:   1 Z6854   Body mass index ped, 95% for age to < 120% of 95% for age    Body mass index [BMI] pediatric, 95th percentile for age to less than 120% of the 95th percentile for age
Add:         1 Z6855   Body mass index ped, 120% 95% for age to < 140% 95% for age  Body mass index [BMI] pediatric, 120% of the 95th percentile for age to less than 140% of the 95th percentile for age
Add:         1 Z6856   Body mass index ped, > or equal to 140% of the 95% for age   Body mass index [BMI] pediatric, greater than or equal to 140% of the 95th percentile for age
Add:         1 Z8372   Family history of familial adenomatous polyposis             Family history of familial adenomatous polyposis
Delete:      1 Z86010  Personal history of colonic polyps                           Personal history of colonic polyps
Add:         0 Z86010  Personal history of colon polyps                             Personal history of colon polyps
Add:         1 Z860100 Personal history of colon polyps, unspecified                Personal history of colon polyps, unspecified
Add:         1 Z860101 Personal history of adenomatous and serrated colon polyps    Personal history of adenomatous and serrated colon polyps
Add:         1 Z860102 Personal history of hyperplastic colon polyps                Personal history of hyperplastic colon polyps
Add:         1 Z860109 Personal history of other colon polyps                       Personal history of other colon polyps
Add:         1 Z9226   Personal history of immune checkpoint inhibitor therapy      Personal history of immune checkpoint inhibitor therapy

Headers
  23252 headers in icd10cm_order_2024.txt
  23324 headers in icd10cm_order_2025.txt
     72 additions
      0 deletions
      1 revisions
of which
      1 revisions to both long and short titles
      0 revisions to long title only
      0 revisions to short title only

Codes
  74044 codes in icd10cm_order_2024.txt
  74260 codes in icd10cm_order_2025.txt
    252 additions
     36 deletions
     13 revisions
of which
     13 revisions to both long and short titles
      0 revisions to long title only
      0 revisions to short title only
